"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,189,0.2860514716047312,33,2,1,1,0,1,1,1,1,0,0,0,NA,1,1,1,1,NA,4
2017,191,0.2860514716047312,34,1,0,3,0,1,1,0,1,0,0,0,0,1,0,1,1,NA,0
2017,192,1.3976910633549937,38,1,0,0,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,5,3
2017,193,2.2636559979471818,20,1,0,2,0,1,1,1,1,0,1,0,1,1,1,1,1,NA,3
2017,195,0.31514344007227757,27,2,1,4,0,1,1,0,1,0,0,0,0,1,1,1,1,NA,1
2017,196,0.572837383933928,52,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,197,0.3690969394659024,55,1,0,4,0,1,1,0,1,0,0,0,0,1,0,0,1,NA,0
2017,199,0.5311963576460116,33,2,1,3,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,3
2017,200,1.8223554408956406,45,1,0,1,3,1,1,0,1,0,1,0,0,1,1,1,1,NA,1
2017,201,0.7872042430536011,20,2,0,2,0,1,1,1,1,0,0,0,1,1,1,1,1,NA,1
2017,202,0.4960083695022625,60,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,NA,1
2017,205,0.32383832546862207,31,2,0,4,1,1,1,0,NA,0,0,0,0,1,1,0,0,NA,0
2017,212,1.9544700811243398,44,0,0,0,0,1,1,0,1,0,3,0,1,1,0,1,1,NA,1
2017,216,0.6430679577945171,37,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,6,1
2017,217,0.2860514716047312,32,2,1,4,3,1,1,1,1,0,0,0,1,1,1,1,1,NA,2
2017,221,0.6582734385370035,79,2,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,NA,0
2017,223,0.562776638388657,28,2,0,1,0,1,1,0,1,0,2,0,0,1,1,1,1,NA,0
2017,226,0.2860514716047312,34,2,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,NA,1
2017,229,0.3166732709364046,48,2,1,4,1,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,231,0.562776638388657,27,2,1,4,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,232,0.5248028287024007,26,2,1,4,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,3
